観光地点等名,所在地,緯度,経度,観光地点等大分類,観光地点等中分類,観光地点等小分類
三国温泉ゆあぽ～と,坂井市三国町宿2-18-1,36.220901,136.135778,観光地点,温泉・健康,温泉地
瀧谷寺,坂井市三国町滝谷1-7-15 ,36.221932,136.146107,観光地点,歴史・文化,神社・仏閣
みくに龍翔館,坂井市三国町緑ヶ丘4-2-1,36.219952,136.151294,観光地点,歴史・文化,記念・資料館
海浜自然公園,坂井市三国町安島36-72,36.249341,136.133351,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
道の駅みくに・ふれあいパーク三里浜,坂井市三国町山岸67-3-1,36.189721,136.139112,観光地点,その他,他に分類されない観光地点
旧森田銀行本店,坂井市三国町南本町3-3-26,36.213605,136.149553,観光地点,歴史・文化,歴史的建造物
丸岡城,坂井市丸岡町霞町1-59,36.152363,136.272113,観光地点,歴史・文化,城
越前竹人形の里,坂井市丸岡町上久米田63-1,36.108173,136.324551,観光地点,歴史・文化,産業観光
福井県総合グリーンセンター,坂井市丸岡町楽間15 ,36.10734,136.303133,観光地点,自然（行祭事・イベント）,その他自然
福井県児童科学館エンゼルランドふくい,坂井市春江町東太郎丸3-1,36.131809,136.216318,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,テーマパークテーマパーク
道の駅さかい・地域交流センターいねす,坂井市坂井町蔵垣内34-14-1,36.170934,136.221855,観光地点,その他,他に分類されない観光地点
三国サンセットビーチ（海水浴場）,坂井市三国町宿,36.22192,136.135102,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
浜地海水浴場,坂井市三国町浜地,36.249855,136.162616,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
三国昭和倉庫館,坂井市三国町新保40-12-1,36.205358,136.143109,観光地点,歴史・文化,記念・資料館
竹田水車メロディーパーク,坂井市丸岡町山口,36.161963,136.333581,観光地点,その他,他に分類されない観光地点
大本山永平寺,吉田郡永平寺町志比5-15,36.055687,136.355424,観光地点,歴史・文化,神社・仏閣
松岡河川公園,吉田郡永平寺町松岡上合月地先,36.100375,136.303168,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
九頭竜川（アユ釣り）,吉田郡永平寺町,36.09252601280474,136.29842846266013,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,釣り場
渓流温泉冠荘,今立郡池田町志津原14-17,35.863569,136.363833,観光地点,温泉・健康,温泉地
ふるさと道場,今立郡池田町土合皿尾14-7-1,35.86029,136.365375,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
かずら橋,今立郡池田町志津原,35.860751,136.365628,観光地点,自然（行祭事・イベント）,河川
花はす公園,南条郡南越前町中小屋64-41,35.808956,136.228337,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
リトリートたくら,南条郡南越前町古木59-52 ,35.792196,136.267228,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
今庄３６５スキー場,南条郡南越前町板取85-36,35.722227,136.148834,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スキー場
ふれあい会館今庄サイクリングターミナル,南条郡南越前町今庄85-2-18,35.772856,136.200936,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,テーマパークテーマパーク
道の駅「河野」,南条郡南越前町大谷86-1,35.796712,136.091948,観光地点,その他,他に分類されない観光地点
河野ｼｰｻｲﾄﾞ温泉「ゆうばえ」,南条郡南越前町甲楽城7-31-1,35.843111,136.045826,観光地点,温泉・健康,温泉地
今庄３６５温泉「やすらぎ」,南条郡南越前町板取 ,35.722965,136.148784,観光地点,温泉・健康,温泉地
花はす温泉「そまやま」,南条郡南越前町中小屋60-1,35.808718,136.227414,観光地点,温泉・健康,温泉地
越前海岸（南越前町）,南条郡南越前町糠,35.849317,136.038148,観光地点,自然（行祭事・イベント）,海岸
今庄そば道場,南条郡南越前町大門10-3-1,35.749574,136.21869,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
福井総合植物園プラントピア,丹生郡越前町朝日17-3-1,35.968769,136.118902,観光地点,歴史・文化,動・植物園
道の駅「パークイン丹生ヶ丘」,丹生郡越前町上川去45-1-7,35.969484,136.119507,観光地点,その他,他に分類されない観光地点
越前陶芸村,丹生郡越前町小曽原7-8,35.933025,136.059731,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
福井県陶芸館,丹生郡越前町小曽原7-8,35.934869,136.058286,観光地点,歴史・文化,記念・資料館
越前陶芸村文化交流会館,丹生郡越前町小曽原7-8,35.933026,136.059732,観光地点,歴史・文化,美術館
越前海岸（越前町）,丹生郡越前町玉川,35.97034,135.962397,観光地点,自然（行祭事・イベント）,海岸
長須浜海水浴場,丹生郡越前町厨,35.91619,135.996208,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
露天風呂「漁火」,丹生郡越前町厨71-335-1,35.919915,135.997025,観光地点,温泉・健康,温泉地
露天風呂「日本海」,丹生郡越前町米ﾉ66-97,35.882467,135.999973,観光地点,温泉・健康,温泉地
越前がにミュージアム,丹生郡越前町厨71-324-1,35.920016,135.998331,観光地点,歴史・文化,記念・資料館
アクティブハウス越前,丹生郡越前町厨71-335-1,35.920248,135.99726,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
越前岬水仙ランド,丹生郡越前町血ヶ平27-1-2,35.981525,135.965547,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
劔神社,丹生郡越前町織田,35.957829,136.0554,観光地点,歴史・文化,神社・仏閣
悠久ロマンの杜・朋楽の里,丹生郡越前町笈松44-3,35.978029,136.027756,観光地点,自然（行祭事・イベント）,その他自然
オタイコ・ヒルズ,丹生郡越前町下河原37-19-1,35.948886,136.057757,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
泰澄の杜,丹生郡越前町小倉88-55-1,35.997546,136.093002,観光地点,温泉・健康,温泉地
花みずき温泉「若竹荘」,丹生郡越前町小曽原119-1-2,35.930297,136.063447,観光地点,温泉・健康,温泉地
花の茶屋「よって駅ね」,丹生郡越前町織田32-44,35.961634,136.059795,観光地点,都市型観光 買物 食,食・グルメ
美浜原子力PRセンター,三方郡美浜町丹生66,35.70331,135.971633,観光地点,その他,他に分類されない観光地点
三方五湖レークセンター,三方郡美浜町早瀬1-5,35.61352,135.903297,観光地点,自然（行祭事・イベント）,湖沼
フィッシングランド日向,三方郡美浜町日向33-4?,35.599703,135.887002,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,釣り場
がぁでんぱぁく五湖の駅,三方郡美浜町久々子72-1,35.602299,135.927701,観光地点,その他,他に分類されない観光地点
海遊バザール千鳥苑,三方郡美浜町坂尻43,35.621962,135.968265,観光地点,その他,他に分類されない観光地点
久々子海水浴場,三方郡美浜町久々子,35.609187,135.920334,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
菅浜・ダイヤ浜海水浴場,三方郡美浜町菅浜 ,35.653072,135.975547,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
竹波・水晶浜海水浴場,三方郡美浜町竹波,35.692964,135.976497,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
丹生白浜海水浴場,三方郡美浜町丹生,35.701121,135.973807,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
若狭高浜エルどらんど,大飯郡高浜町青戸,35.489941,135.589334,観光地点,その他,他に分類されない観光地点
道の駅「シーサイド高浜」,大飯郡高浜町下車持,35.489029,135.595475,観光地点,その他,他に分類されない観光地点
和田キャンプ場,大飯郡高浜町和田,35.4916,135.570311,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,キャンプ場
城山公園,大飯郡高浜町事代,35.494647,135.552783,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
城山海水浴場,大飯郡高浜町事代,35.493268,135.553337,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
白浜海水浴場,大飯郡高浜町宮崎,35.491229,135.566774,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
若狭和田海水浴場,大飯郡高浜町和田,35.492795,135.574064,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
三松海水浴場,大飯郡高浜町三松,35.493611,135.519402,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
